Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
144-CH3949-N/A-001-A,Main,Kitchen,8/8/18,8/14/18,1808427-01A,Copper,0.0648,0.0000259,1.3,ppm,,,,,,,
144-CH3949-N/A-001-A,Main,Kitchen,8/8/18,8/14/18,1808427-01A,Lead,1.69,0.00523,15,ppb,,,,,,,
144-CH3949-N/A-001-B,Main,Kitchen,8/8/18,8/14/18,1808427-02A,Copper,0.00656,0.0000259,1.3,ppm,,,,,,,
144-CH3949-N/A-001-B,Main,Kitchen,8/8/18,8/14/18,1808427-02A,Lead,0.259,0.00523,15,ppb,,,,,,,
144-CH3957-N/A-001-A,Gym,,8/8/18,8/14/18,1808427-03A,Copper,0.0702,0.0000259,1.3,ppm,,,,,,,
144-CH3957-N/A-001-A,Gym,,8/8/18,8/14/18,1808427-03A,Lead,5.84,0.00523,15,ppb,,,,,,,
144-CH3957-N/A-001-B,Gym,,8/8/18,8/14/18,1808427-04A,Copper,0.0262,0.0000259,1.3,ppm,,,,,,,
144-CH3957-N/A-001-B,Gym,,8/8/18,8/14/18,1808427-04A,Lead,1.9,0.00523,15,ppb,,,,,,,
144-CH3953-A-001-A,Hallway,108,8/8/18,8/14/18,1808427-05A,Copper,2.34,0.000259,1.3,ppm,,,,,,,
144-CH3953-A-001-A,Hallway,108,8/8/18,8/14/18,1808427-05A,Lead,11.9,0.00523,15,ppb,,,,,,,
144-CH3953-A-001-B,Hallway,108,8/8/18,8/14/18,1808427-06A,Copper,1.75,0.000259,1.3,ppm,,,,,,,
144-CH3953-A-001-B,Hallway,108,8/8/18,8/14/18,1808427-06A,Lead,1.35,0.00523,15,ppb,,,,,,,
144-CH3953-B-001-A,Hallway,108,8/8/18,8/14/18,1808427-07A,Copper,1.77,0.000259,1.3,ppm,,,,,,,
144-CH3953-B-001-A,Hallway,108,8/8/18,8/14/18,1808427-07A,Lead,3.1,0.00523,15,ppb,,,,,,,
144-CH3953-B-001-B,Hallway,108,8/8/18,8/14/18,1808427-08A,Copper,0.322,0.0000259,1.3,ppm,,,,,,,
144-CH3953-B-001-B,Hallway,108,8/8/18,8/14/18,1808427-08A,Lead,0.976,0.00523,15,ppb,,,,,,,
144-CH3965-A-001-A,Hallway,Custodial,8/8/18,8/14/18,1808427-09A,Copper,0.109,0.0000259,1.3,ppm,,,,,,,
144-CH3965-A-001-A,Hallway,Custodial,8/8/18,8/14/18,1808427-09A,Lead,205,0.00523,15,ppb,,,,,,,
144-CH3965-A-001-B,Hallway,Custodial,8/8/18,8/14/18,1808427-10A,Copper,0.0578,0.0000259,1.3,ppm,,,,,,,
144-CH3965-A-001-B,Hallway,Custodial,8/8/18,8/14/18,1808427-10A,Lead,12.3,0.00523,15,ppb,,,,,,,
144-CH3965-B-001-A,Hallway,Custodial,8/8/18,8/14/18,1808427-11A,Copper,0.0641,0.0000259,1.3,ppm,,,,,,,
144-CH3965-B-001-A,Hallway,Custodial,8/8/18,8/14/18,1808427-11A,Lead,39.6,0.00523,15,ppb,,,,,,,
144-CH3965-B-001-B,Hallway,Custodial,8/8/18,8/14/18,1808427-12A,Copper,0.047,0.0000259,1.3,ppm,,,,,,,
144-CH3965-B-001-B,Hallway,Custodial,8/8/18,8/14/18,1808427-12A,Lead,2.47,0.00523,15,ppb,,,,,,,
144-CH3945-N/A-001-A,Hallway,Room,8/8/18,8/14/18,1808427-13A,Copper,0.0392,0.0000259,1.3,ppm,,,,,,,
144-CH3945-N/A-001-A,Hallway,Room,8/8/18,8/14/18,1808427-13A,Lead,6.09,0.00523,15,ppb,,,,,,,
144-CH3945-N/A-001-B,Hallway,Room,8/8/18,8/14/18,1808427-14A,Copper,0.0252,0.0000259,1.3,ppm,,,,,,,
144-CH3945-N/A-001-B,Hallway,Room,8/8/18,8/14/18,1808427-14A,Lead,3.31,0.00523,15,ppb,,,,,,,
144-CH3962-N/A-001-A,108,,8/8/18,8/14/18,1808427-15A,Copper,0.712,0.0000259,1.3,ppm,,,,,,,
144-CH3962-N/A-001-A,108,,8/8/18,8/14/18,1808427-15A,Lead,40.1,0.00523,15,ppb,,,,,,,
144-CH3962-N/A-001-B,108,,8/8/18,8/14/18,1808427-16A,Copper,0.906,0.000259,1.3,ppm,,,,,,,
144-CH3962-N/A-001-B,108,,8/8/18,8/14/18,1808427-16A,Lead,15.5,0.00523,15,ppb,,,,,,,
144-CH3956-N/A-001-A,By,Room,8/8/18,8/14/18,1808427-17A,Copper,0.0359,0.0000259,1.3,ppm,,,,,,,
144-CH3956-N/A-001-A,By,Room,8/8/18,8/14/18,1808427-17A,Lead,85.6,0.00523,15,ppb,,,,,,,
144-CH3956-N/A-001-B,By,Room,8/8/18,8/14/18,1808427-18A,Copper,0.0203,0.0000259,1.3,ppm,,,,,,,
144-CH3956-N/A-001-B,By,Room,8/8/18,8/14/18,1808427-18A,Lead,11.6,0.00523,15,ppb,,,,,,,
144-CH3951-N/A-001-A,Break,Room,8/8/18,8/14/18,1808427-19A,Copper,0.131,0.0000259,1.3,ppm,,,,,,,
144-CH3951-N/A-001-A,Break,Room,8/8/18,8/14/18,1808427-19A,Lead,3.73,0.00523,15,ppb,,,,,,,
144-CH3951-N/A-001-B,Break,Room,8/8/18,8/14/18,1808427-20A,Copper,0.0143,0.0000259,1.3,ppm,,,,,,,
144-CH3951-N/A-001-B,Break,Room,8/8/18,8/14/18,1808427-20A,Lead,7.01,0.00523,15,ppb,,,,,,,
144-CH3960-N/A-001-A,Cafeteria,,8/8/18,8/14/18,1808427-21A,Copper,0.0174,0.0000259,1.3,ppm,,,,,,,
144-CH3960-N/A-001-A,Cafeteria,,8/8/18,8/14/18,1808427-21A,Lead,19.2,0.00523,15,ppb,,,,,,,
144-CH3960-N/A-001-B,Cafeteria,,8/8/18,8/14/18,1808427-22A,Copper,0.00361,0.0000259,1.3,ppm,,,,,,,
144-CH3960-N/A-001-B,Cafeteria,,8/8/18,8/14/18,1808427-22A,Lead,2.04,0.00523,15,ppb,,,,,,,
144-CH3952-N/A-001-A,By,Store,8/8/18,8/14/18,1808427-23A,Copper,0.0206,0.0000259,1.3,ppm,,,,,,,
144-CH3952-N/A-001-A,By,Store,8/8/18,8/14/18,1808427-23A,Lead,2.74,0.00523,15,ppb,,,,,,,
