Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
244-CH1100-N/A-001-A,Kitchen,Prep,8/13/18,8/17/18,1808608-01A,Copper,0.151,0.0000259,1.3,ppm,,,,,,,
244-CH1100-N/A-001-A,Kitchen,Prep,8/13/18,8/17/18,1808608-01A,Lead,11.1,0.00523,15,ppb,,,,,,,
244-CH1100-N/A-001-B,Kitchen,Prep,8/13/18,8/17/18,1808608-02A,Copper,0.0332,0.0000259,1.3,ppm,,,,,,,
244-CH1100-N/A-001-B,Kitchen,Prep,8/13/18,8/17/18,1808608-02A,Lead,3.52,0.00523,15,ppb,,,,,,,
244-CH1096-N/A-001-A,Hallway,By Rm 1,8/13/18,8/17/18,1808608-03A,Copper,0.0316,0.0000259,1.3,ppm,,,,,,,
244-CH1096-N/A-001-A,Hallway,By Rm 1,8/13/18,8/17/18,1808608-03A,Lead,9.94,0.00523,15,ppb,,,,,,,
244-CH1096-N/A-001-B,Hallway,By Rm 1,8/13/18,8/17/18,1808608-04A,Copper,0.00399,0.0000259,1.3,ppm,,,,,,,
244-CH1096-N/A-001-B,Hallway,By Rm 1,8/13/18,8/17/18,1808608-04A,Lead,5.74,0.00523,15,ppb,,,,,,,
244-CH1106-N/A-001-A,Cafeteria, ,8/13/18,8/17/18,1808608-05A,Copper,0.0279,0.0000259,1.3,ppm,,,,,,,
244-CH1106-N/A-001-A,Cafeteria, ,8/13/18,8/17/18,1808608-05A,Lead,2.48,0.00523,15,ppb,,,,,,,
244-CH1106-N/A-001-B,Cafeteria, ,8/13/18,8/17/18,1808608-06A,Copper,0.00534,0.0000259,1.3,ppm,,,,,,,
244-CH1106-N/A-001-B,Cafeteria, ,8/13/18,8/17/18,1808608-06A,Lead,0.515,0.00523,15,ppb,,,,,,,
244-CH1085-A-001-A,Hallway,By Gym,8/13/18,8/17/18,1808608-07A,Copper,0.0231,0.0000259,1.3,ppm,,,,,,,
244-CH1085-A-001-A,Hallway,By Gym,8/13/18,8/17/18,1808608-07A,Lead,122,0.00523,15,ppb,,,,,,,
244-CH1085-A-001-B,Hallway,By Gym,8/13/18,8/17/18,1808608-08A,Copper,0.00397,0.0000259,1.3,ppm,,,,,,,
244-CH1085-A-001-B,Hallway,By Gym,8/13/18,8/17/18,1808608-08A,Lead,53.5,0.00523,15,ppb,,,,,,,
244-CH1085-B-001-A,Hallway,By Gym,8/13/18,8/17/18,1808608-09A,Copper,0.028,0.0000259,1.3,ppm,,,,,,,
244-CH1085-B-001-A,Hallway,By Gym,8/13/18,8/17/18,1808608-09A,Lead,52.9,0.00523,15,ppb,,,,,,,
244-CH1085-B-001-B,Hallway,By Gym,8/13/18,8/17/18,1808608-10A,Copper,0.00761,0.0000259,1.3,ppm,,,,,,,
244-CH1085-B-001-B,Hallway,By Gym,8/13/18,8/17/18,1808608-10A,Lead,39.8,0.00523,15,ppb,,,,,,,
244-CH1068-A-001-A,By,Room 16,8/13/18,8/17/18,1808608-11A,Copper,0.0491,0.0000259,1.3,ppm,,,,,,,
244-CH1068-A-001-A,By,Room 16,8/13/18,8/17/18,1808608-11A,Lead,141,0.00523,15,ppb,,,,,,,
244-CH1068-A-001-B,By,Room 16,8/13/18,8/17/18,1808608-12A,Copper,0.0102,0.0000259,1.3,ppm,,,,,,,
244-CH1068-A-001-B,By,Room 16,8/13/18,8/17/18,1808608-12A,Lead,94.7,0.00523,15,ppb,,,,,,,
244-CH1068-B-001-A,By,Room 16,8/13/18,8/17/18,1808608-13A,Copper,0.0151,0.0000259,1.3,ppm,,,,,,,
244-CH1068-B-001-A,By,Room 16,8/13/18,8/17/18,1808608-13A,Lead,88.6,0.00523,15,ppb,,,,,,,
244-CH1068-B-001-B,By,Room 16,8/13/18,8/17/18,1808608-14A,Copper,0.00398,0.0000259,1.3,ppm,,,,,,,
244-CH1068-B-001-B,By,Room 16,8/13/18,8/17/18,1808608-14A,Lead,67.9,0.00523,15,ppb,,,,,,,
244-CH1082-A-001-A,By,Gym,8/13/18,8/17/18,1808608-15A,Copper,0.0148,0.0000259,1.3,ppm,,,,,,,
244-CH1082-A-001-A,By,Gym,8/13/18,8/17/18,1808608-15A,Lead,6.23,0.00523,15,ppb,,,,,,,
244-CH1082-A-001-B,By,Gym,8/13/18,8/17/18,1808608-16A,Copper,0.0104,0.0000259,1.3,ppm,,,,,,,
244-CH1082-A-001-B,By,Gym,8/13/18,8/17/18,1808608-16A,Lead,20.6,0.00523,15,ppb,,,,,,,
244-CH1082-B-001-A,By,Gym,8/13/18,8/17/18,1808608-17A,Copper,0.0332,0.0000259,1.3,ppm,,,,,,,
244-CH1082-B-001-A,By,Gym,8/13/18,8/17/18,1808608-17A,Lead,17.3,0.00523,15,ppb,,,,,,,
244-CH1082-B-001-B,By,Gym,8/13/18,8/17/18,1808608-18A,Copper,0.00785,0.0000259,1.3,ppm,,,,,,,
244-CH1082-B-001-B,By,Gym,8/13/18,8/17/18,1808608-18A,Lead,17.5,0.00523,15,ppb,,,,,,,
