Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23307.89542,25020.11999,25659.43878,26532.52747,27712.91003,27707.43423,27558.81608,29223.23688,29508.86227,29716.83431,32026.97274,31064.35565,29847.92835,30356.04527,33050.90338,34051.4928,35168.56147,36619.58803,37247.9805,33553.882,32625.49269,34324.79936,33567.55002,36475.65787,36443.55969,36765.8208,37361.86727,38444.23816,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.058332,1719.25741,1675.214746,1661.8529,1683.647227,1748.064682,1830.11282,1878.148561,1884.374577,1915.846741,1973.0678,2036.675691,2095.301639,2147.831835,2269.280843,2426.587388,2605.762498,2797.028979,2916.319945,2905.350042,3007.915774,3118.991628,3105.911949,3235.310089,3376.458861,3420.344569,3452.125085,3531.062791,3593.68419,3613.243749,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0142683,927.857548,925.4414292,1023.051749,1077.76154,1228.703863,1272.572975,1519.692923,1710.575411,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.635648,2152.366489,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.618354,1713.097693,1751.334243,1726.898421,1714.637649,1739.073465,1804.116194,1854.613095,1891.85906,1898.11204,1956.900575,2054.273469,2234.521179,2349.061428,2536.142575,2700.822792,2852.336032,3008.966667,3167.312383,3294.031831,3457.184873,3606.719188,3712.637466,3942.741213,4123.415834,4125.41506,4045.439999,4091.835404,4200.935322,4296.933738,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281.31385,3313.888758,3088.53372,2326.646193,2331.703879,2651.020473,2968.243068,3136.516286,3215.105619,3226.128142,3289.409549,3389.196967,3785.150322,3838.795052,4225.467927,4837.709827,5362.019843,6050.610555,6607.291634,6470.675244,6587.986939,6710.750623,7412.967035,7682.475386,8179.297828,7337.569822,7103.226431,7310.896589,7099.971958,6905.651751,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.845764,1908.644331,1822.859076,2056.943453,2289.309748,2665.109037,2979.33309,2716.693558,3020.930573,3471.656359,3862.484378,4301.38283,4661.379143,4994.924693,5423.201684,5865.317591,6557.801337,7274.524685,8228.32756,8819.510092,9636.108705,10207.7335,10526.31897,10570.9681,11259.2967,11658.86606,12078.80073,12770.97504,13546.48169,14224.07326,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653.856453,7204.916092,7595.22093,7786.543315,7974.992501,8105.041076,8432.198901,8737.383209,9127.48026,9246.786866,9876.77791,10036.04236,10006.39448,10389.053,11401.48721,12117.30701,12905.69625,13517.8071,14238.84253,14108.46737,14599.39391,15066.26635,16076.1758,16034.65357,15755.38684,14199.75986,13623.33616,14143.58158,14584.12531,14809.18076,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87226.30074,85847.05612,85624.86409,83847.85787,86706.60056,89724.15497,91943.31842,96180.00822,92627.86589,91710.54555,98363.57438,96722.50852,95550.18991,99238.36308,101871.3341,97670.05746,95678.31775,87101.57013,79730.96036,68166.47885,64881.78057,67686.38538,69102.47617,70374.23536,73619.04466,64901.88005,63968.88804,67183.60531,68576.11552,69957.61808,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7195.692106,8005.465074,8719.103242,9532.890941,10175.12601,9969.601171,10586.10997,11507.89541,11949.41866,11581.89051,11618.79323,11226.87975,10052.48826,11025.1861,12214.74071,13568.76921,14951.72895,16570.00783,17404.06914,16334.74081,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23305.84742,22996.98552,
