Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
175-CH1426-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-13,Copper,0.135,0.001,1.3,ppm,,,,,,,
175-CH1426-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-13,Lead,1.5,0.2,15,ppb,,,,,,,
175-CH1426-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-14,Copper,0.0662,0.001,1.3,ppm,,,,,,,
175-CH1426-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-14,Lead,ND,0.2,15,ppb,,,,,,,
175-CH1429-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-11,Copper,0.12,0.001,1.3,ppm,,,,,,,
175-CH1429-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-11,Lead,1.31,0.2,15,ppb,,,,,,,
175-CH1429-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-12,Copper,0.0657,0.001,1.3,ppm,,,,,,,
175-CH1429-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-12,Lead,ND,0.2,15,ppb,,,,,,,
175-CH1432-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-05,Copper,0.0837,0.001,1.3,ppm,,,,,,,
175-CH1432-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-05,Lead,0.901,0.2,15,ppb,,,,,,,
175-CH1432-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-06,Copper,0.0652,0.001,1.3,ppm,,,,,,,
175-CH1432-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-06,Lead,ND,0.2,15,ppb,,,,,,,
175-CH1764-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-01,Copper,0.109,0.001,1.3,ppm,,,,,,,
175-CH1764-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-01,Lead,1.9,0.2,15,ppb,,,,,,,
175-CH1764-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-02,Copper,0.086,0.001,1.3,ppm,,,,,,,
175-CH1764-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-02,Lead,1.82,0.2,15,ppb,,,,,,,
175-CH2893-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-15,Copper,0.0982,0.001,1.3,ppm,,,,,,,
175-CH2893-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-15,Lead,0.481,0.2,15,ppb,,,,,,,
175-CH2893-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-16,Copper,0.0757,0.001,1.3,ppm,,,,,,,
175-CH2893-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-16,Lead,ND,0.2,15,ppb,,,,,,,
175-CH2903-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-03,Copper,0.114,0.001,1.3,ppm,,,,,,,
175-CH2903-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-03,Lead,0.999,0.2,15,ppb,,,,,,,
175-CH2903-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-04,Copper,0.0745,0.001,1.3,ppm,,,,,,,
175-CH2903-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-04,Lead,0.323,0.2,15,ppb,,,,,,,
175-CH2906-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-07,Copper,0.177,0.001,1.3,ppm,,,,,,,
175-CH2906-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-07,Lead,2.67,0.2,15,ppb,,,,,,,
175-CH2906-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-08,Copper,0.0722,0.001,1.3,ppm,,,,,,,
175-CH2906-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-08,Lead,0.44,0.2,15,ppb,,,,,,,
175-CH2916-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-09,Copper,0.176,0.001,1.3,ppm,,,,,,,
175-CH2916-N/A-001-A,Hall,Bubbler,3/3/18,3/16/18,A8C0127-09,Lead,2.57,0.2,15,ppb,,,,,,,
175-CH2916-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-10,Copper,0.0755,0.001,1.3,ppm,,,,,,,
175-CH2916-N/A-001-B,Hall,Bubbler,3/3/18,3/16/18,A8C0127-10,Lead,0.241,0.2,15,ppb,,,,,,,
175-CH2962-N/A-001-A,Kitchen,Sprayer,3/3/18,3/16/18,A8C0127-17,Copper,0.133,0.001,1.3,ppm,,,,,,,
175-CH2962-N/A-001-A,Kitchen,Sprayer,3/3/18,3/16/18,A8C0127-17,Lead,3.48,0.2,15,ppb,,,,,,,
175-CH2962-N/A-001-B,Kitchen,Sprayer,3/3/18,3/16/18,A8C0127-18,Copper,0.272,0.001,1.3,ppm,,,,,,,
175-CH2962-N/A-001-B,Kitchen,Sprayer,3/3/18,3/16/18,A8C0127-18,Lead,0.254,0.2,15,ppb,,,,,,,
 ,,,,,,,,,,,,,,,,,
