Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
279-2149-A-001-A,Sink,(Food Prep),8/31/18,9/7/18,A8H0905-01,Copper,0.689,0.004,1.3,ppm,,,,,,,
279-2149-A-001-A,Sink,(Food Prep),8/31/18,9/10/18,A8H0905-01RE1,Lead,212,0.2,15,ppb,,,,,,,
279-2149-A-001-B,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-02RE1,Copper,0.00772,0.002,1.3,ppm,,,,,,,
279-2149-A-001-B,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-02RE1,Lead,1.61,0.2,15,ppb,,,,,,,
279-2149-B-001-A,Sink,Bubbler,8/31/18,9/13/18,A8H0905-03RE1,Copper,0.0765,0.002,1.3,ppm,,,,,,,
279-2149-B-001-A,Sink,Bubbler,8/31/18,9/13/18,A8H0905-03RE1,Lead,17.2,0.2,15,ppb,,,,,,,
279-2149-B-001-B,Sink,Bubbler,8/31/18,9/13/18,A8H0905-04RE1,Copper,0.00851,0.002,1.3,ppm,,,,,,,
279-2149-B-001-B,Sink,Bubbler,8/31/18,9/13/18,A8H0905-04RE1,Lead,2.44,0.2,15,ppb,,,,,,,
279-2152-N/A-001-A,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-05RE1,Copper,0.0104,0.002,1.3,ppm,,,,,,,
279-2152-N/A-001-A,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-05RE1,Lead,6.07,0.2,15,ppb,,,,,,,
279-2152-N/A-001-B,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-06RE1,Copper,0.0047,0.002,1.3,ppm,,,,,,,
279-2152-N/A-001-B,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-06RE1,Lead,5.96,0.2,15,ppb,,,,,,,
279-2153-N/A-001-A,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-07RE1,Copper,0.016,0.002,1.3,ppm,,,,,,,
279-2153-N/A-001-A,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-07RE1,Lead,20.2,0.2,15,ppb,,,,,,,
279-2153-N/A-001-B,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-08RE1,Copper,0.0059,0.002,1.3,ppm,,,,,,,
279-2153-N/A-001-B,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-08RE1,Lead,9.09,0.2,15,ppb,,,,,,,
279-2161-A-001-A,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-09RE1,Copper,0.152,0.002,1.3,ppm,,,,,,,
279-2161-A-001-A,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-09RE1,Lead,14,0.2,15,ppb,,,,,,,
279-2161-A-001-B,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-10RE1,Copper,0.0136,0.002,1.3,ppm,,,,,,,
279-2161-A-001-B,Sink,(Food Prep),8/31/18,9/13/18,A8H0905-10RE1,Lead,1.17,0.2,15,ppb,,,,,,,
279-2161-B-001-A,Sink,Bubbler,8/31/18,9/13/18,A8H0905-11RE1,Copper,0.0348,0.002,1.3,ppm,,,,,,,
279-2161-B-001-A,Sink,Bubbler,8/31/18,9/13/18,A8H0905-11RE1,Lead,4.89,0.2,15,ppb,,,,,,,
279-2161-B-001-B,Sink,Bubbler,8/31/18,9/13/18,A8H0905-12RE1,Copper,0.0133,0.002,1.3,ppm,,,,,,,
279-2161-B-001-B,Sink,Bubbler,8/31/18,9/13/18,A8H0905-12RE1,Lead,1.68,0.2,15,ppb,,,,,,,
279-2163-N/A-001-A,Classroom Sink,Bubbler,8/31/18,9/13/18,A8H0905-13RE1,Copper,0.00723,0.002,1.3,ppm,,,,,,,
