Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
282-2193-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-01,Copper,0.00501,0.002,1.3,ppm,,,,,,,
282-2193-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-01,Lead,8.2,0.2,15,ppb,,,,,,,
282-2193-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-02,Copper,0.00458,0.002,1.3,ppm,,,,,,,
282-2193-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-02,Lead,4.83,0.2,15,ppb,,,,,,,
282-2195-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-03,Copper,0.0696,0.002,1.3,ppm,,,,,,,
282-2195-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-03,Lead,8.33,0.2,15,ppb,,,,,,,
282-2195-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-04,Copper,0.373,0.002,1.3,ppm,,,,,,,
282-2195-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-04,Lead,28.7,0.2,15,ppb,,,,,,,
282-2197-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-05,Copper,0.016,0.002,1.3,ppm,,,,,,,
282-2197-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-05,Lead,2.06,0.2,15,ppb,,,,,,,
282-2197-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-06,Copper,0.0126,0.002,1.3,ppm,,,,,,,
282-2197-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-06,Lead,1.18,0.2,15,ppb,,,,,,,
282-2200-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-07,Copper,0.0108,0.002,1.3,ppm,,,,,,,
282-2200-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-07,Lead,7.47,0.2,15,ppb,,,,,,,
282-2200-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-08,Copper,0.0107,0.002,1.3,ppm,,,,,,,
282-2200-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-08,Lead,5.83,0.2,15,ppb,,,,,,,
282-2201-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-09,Copper,0.0281,0.002,1.3,ppm,,,,,,,
282-2201-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-09,Lead,11.3,0.2,15,ppb,,,,,,,
282-2201-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-10,Copper,0.0151,0.002,1.3,ppm,,,,,,,
282-2201-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-10,Lead,2.81,0.2,15,ppb,,,,,,,
282-2198-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-11,Copper,0.0141,0.002,1.3,ppm,,,,,,,
282-2198-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-11,Lead,5.27,0.2,15,ppb,,,,,,,
282-2198-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-12,Copper,0.0113,0.002,1.3,ppm,,,,,,,
282-2198-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-12,Lead,3.35,0.2,15,ppb,,,,,,,
282-2196-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-13,Copper,0.00611,0.002,1.3,ppm,,,,,,,
282-2196-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-13,Lead,7.72,0.2,15,ppb,,,,,,,
282-2196-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-14,Copper,0.0074,0.002,1.3,ppm,,,,,,,
282-2196-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-14,Lead,8.31,0.2,15,ppb,,,,,,,
282-2194-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-15,Copper,0.203,0.002,1.3,ppm,,,,,,,
282-2194-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-15,Lead,21.3,0.2,15,ppb,,,,,,,
